Fecha;Precio;Generación
01/01/2016;Bajo;Renovable Medio
02/01/2016;Bajo;Renovable Alto
03/01/2016;Bajo;Renovable Alto
04/01/2016;Bajo;Renovable Alto
05/01/2016;Bajo;Renovable Muy Alto
06/01/2016;Bajo;Renovable Muy Alto
07/01/2016;Bajo;Renovable Muy Alto
08/01/2016;Bajo;Renovable Alto
09/01/2016;Bajo;Renovable Alto
10/01/2016;Bajo;Renovable Muy Alto
11/01/2016;Bajo;Renovable Muy Alto
12/01/2016;Bajo;Renovable Alto
13/01/2016;Bajo;Renovable Medio
14/01/2016;Bajo;Renovable Medio
15/01/2016;Bajo;Renovable Alto
16/01/2016;Bajo;Renovable Alto
17/01/2016;Bajo;Renovable Medio
18/01/2016;Medio;Renovable Alto
19/01/2016;Medio;Renovable Bajo
20/01/2016;Medio;Renovable Bajo
21/01/2016;Medio;Renovable Bajo
22/01/2016;Medio;Renovable Bajo
23/01/2016;Medio;Renovable Bajo
24/01/2016;Bajo;Renovable Medio
25/01/2016;Medio;Renovable Bajo
26/01/2016;Medio;Renovable Bajo
27/01/2016;Medio;Renovable Bajo
28/01/2016;Medio;Renovable Bajo
29/01/2016;Medio;Renovable Bajo
30/01/2016;Bajo;Renovable Medio
31/01/2016;Bajo;Renovable Medio
01/02/2016;Medio;Renovable Bajo
02/02/2016;Medio;Renovable Bajo
03/02/2016;Bajo;Renovable Medio
04/02/2016;Bajo;Renovable Medio
05/02/2016;Bajo;Renovable Medio
06/02/2016;Bajo;Renovable Alto
07/02/2016;Bajo;Renovable Muy Alto
08/02/2016;Bajo;Renovable Alto
09/02/2016;Bajo;Renovable Muy Alto
10/02/2016;Bajo;Renovable Muy Alto
11/02/2016;Bajo;Renovable Alto
12/02/2016;Bajo;Renovable Muy Alto
13/02/2016;Bajo;Renovable Muy Alto
14/02/2016;Bajo;Renovable Muy Alto
15/02/2016;Bajo;Renovable Muy Alto
16/02/2016;Bajo;Renovable Alto
17/02/2016;Bajo;Renovable Medio
18/02/2016;Bajo;Renovable Medio
19/02/2016;Bajo;Renovable Medio
20/02/2016;Bajo;Renovable Medio
21/02/2016;Bajo;Renovable Medio
22/02/2016;Bajo;Renovable Medio
23/02/2016;Bajo;Renovable Alto
24/02/2016;Bajo;Renovable Alto
25/02/2016;Bajo;Renovable Alto
26/02/2016;Bajo;Renovable Alto
27/02/2016;Bajo;Renovable Muy Alto
28/02/2016;Bajo;Renovable Muy Alto
29/02/2016;Bajo;Renovable Muy Alto
01/03/2016;Bajo;Renovable Alto
02/03/2016;Bajo;Renovable Muy Alto
03/03/2016;Bajo;Renovable Muy Alto
04/03/2016;Bajo;Renovable Muy Alto
05/03/2016;Bajo;Renovable Muy Alto
06/03/2016;Bajo;Renovable Muy Alto
07/03/2016;Bajo;Renovable Alto
08/03/2016;Bajo;Renovable Alto
09/03/2016;Bajo;Renovable Muy Alto
10/03/2016;Bajo;Renovable Muy Alto
11/03/2016;Bajo;Renovable Alto
12/03/2016;Bajo;Renovable Alto
13/03/2016;Bajo;Renovable Alto
14/03/2016;Bajo;Renovable Medio
15/03/2016;Bajo;Renovable Bajo
16/03/2016;Bajo;Renovable Medio
17/03/2016;Bajo;Renovable Bajo
18/03/2016;Medio;Renovable Bajo
19/03/2016;Bajo;Renovable Bajo
20/03/2016;Bajo;Renovable Bajo
21/03/2016;Bajo;Renovable Medio
22/03/2016;Bajo;Renovable Medio
23/03/2016;Bajo;Renovable Muy Alto
24/03/2016;Bajo;Renovable Alto
25/03/2016;Bajo;Renovable Alto
26/03/2016;Bajo;Renovable Alto
27/03/2016;Bajo;Renovable Alto
28/03/2016;Bajo;Renovable Alto
29/03/2016;Bajo;Renovable Alto
30/03/2016;Bajo;Renovable Alto
31/03/2016;Bajo;Renovable Muy Alto
